molecule,functional_group,smi,inchi
acetic,"Alcohol, Carboxylic Acid, Ketone","C(=O)(C)O	molecule ""acetic"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)
"
ch2nh,(Fallback) Organic,"C=N	molecule ""ch2nh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH3N/c1-2/h2H,1H2
"
c2clh3,Alkene,"C=CCl	molecule ""c2clh3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H3Cl/c1-2-3/h2H,1H2
"
n2h4,Amine,"NN	molecule ""n2h4"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/H4N2/c1-2/h1-2H2
"
c2h3f,Alkene,"C=CF	molecule ""c2h3f"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H3F/c1-2-3/h2H,1H2
"
dioxetane,Ether,"C1OCO1	molecule ""dioxetane"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H4O2/c1-3-2-4-1/h1-2H2
"
cclh3,Halogenalkane,"ClC	molecule ""cclh3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH3Cl/c1-2/h1H3
"
ketene,Alkene,"C=C=O	molecule ""ketene"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H2O/c1-2-3/h1H2
"
bh3,(Fallback) Inorganic,"B	molecule ""bh3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/BH3/h1H3
"
TiCl2Me2,(Fallback) Organometallic,"[Ti](Cl)(Cl)(C)C	molecule ""TiCl2Me2"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/2CH3.2ClH.Ti/h2*1H3;2*1H;/q;;;;+2/p-2
"
ED02,(Fallback) Organometallic,"[Fe]([C][O])([C][O])([C][O])[C][O]	molecule ""ED02"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/4CO.Fe/c4*1-2;
"
c2clh,Alkyne,"ClC#C	molecule ""c2clh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2HCl/c1-2-3/h1H
"
oxadiazole,(Fallback) Organic,"c1cnon1	molecule ""oxadiazole"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H2N2O/c1-2-4-5-3-1/h1-2H
"
formamide,(Fallback) Organic,"C(=O)N	molecule ""formamide"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)
"
clcn,Nitrile,"ClC#N	molecule ""clcn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CClN/c2-1-3
"
PhSeH,(Fallback) Organic,"c1(ccccc1)[SeH]	molecule ""PhSeH"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C6H6Se/c7-6-4-2-1-3-5-6/h1-5,7H
"
PR06,(Fallback) Organometallic,"[CrH].O=[C].[C]=O.[C]=O.[C]=O.[C]=O.[H]	molecule ""PR06"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/5CO.Cr.2H/c5*1-2;;;
"
oxirene,"Ether, Alkene","C1=CO1	molecule ""oxirene"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H2O/c1-2-3-1/h1-2H
"
ocs,(Fallback) Organic,"[O][C][S]	molecule ""ocs"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/COS/c2-1-3
"
Zn(CH3)2,(Fallback) Organometallic,"[Zn](C)C	molecule ""Zn(CH3)2"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/2CH3.Zn/h2*1H3;
"
CuMe,(Fallback) Organometallic,"[Cu]C	molecule ""CuMe"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/CH3.Cu/h1H3;
"
PR01,(Fallback) Organometallic,"[Cr]([C][O])([C][O])([C][O])([C][O])([C][O])[C][O]	molecule ""PR01"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/6CO.Cr/c6*1-2;
"
ch3f,Halogenalkane,"FC	molecule ""ch3f"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH3F/c1-2/h1H3
"
ch2clf,Halogenalkane,"C(F)Cl	molecule ""ch2clf"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH2ClF/c2-1-3/h1H2
"
Cr(CO)6,(Fallback) Organometallic,"[Cr]([C][O])([C][O])([C][O])([C][O])([C][O])[C][O]	molecule ""Cr(CO)6"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/6CO.Cr/c6*1-2;
"
dioxetan2one,"Ester, Ether","C1(=O)OCO1	molecule ""dioxetan2one"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H2O3/c3-2-4-1-5-2/h1H2
"
clcof,(Fallback) Organic,"C(=O)(F)Cl	molecule ""clcof"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CClFO/c2-1(3)4
"
cs2,(Fallback) Organic,"C(#[S])[S]	molecule ""cs2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CS2/c2-1-3
"
cs,(Fallback) Organic,"[C]#[S]	molecule ""cs"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CS/c1-2
"
ccl2h2,Halogenalkane,"C(Cl)Cl	molecule ""ccl2h2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH2Cl2/c2-1-3/h1H2
"
cis-c2f2cl2,Alkene,"C(=C(\Cl)/F)(\Cl)/F	molecule ""cis-c2f2cl2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2Cl2F2/c3-1(5)2(4)6/b2-1-
"
trans-c2f2cl2,Alkene,"C(=C(\F)/Cl)(\Cl)/F	molecule ""trans-c2f2cl2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2Cl2F2/c3-1(5)2(4)6/b2-1+
"
glyoxal,"Aldehyde, Ketone","C(=O)C=O	molecule ""glyoxal"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H2O2/c3-1-2-4/h1-2H
"
clno,(Fallback) Inorganic,"Cl[N][O]	molecule ""clno"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/ClNO/c1-2-3
"
p4,(Fallback) Inorganic,"P12P3P1P23	molecule ""p4"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/P4/c1-2-3(1)4(1)2/t1-,2+,3-,4+
"
hccf,Alkyne,"C#CF	molecule ""hccf"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2HF/c1-2-3/h1H
"
c2cl2,Alkyne,"ClC#CCl	molecule ""c2cl2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2Cl2/c3-1-2-4
"
ccl2o,(Fallback) Organic,"C(=O)(Cl)Cl	molecule ""ccl2o"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CCl2O/c2-1(3)4
"
formic-anhydride,"Ester, Ether","O(C=O)C=O	molecule ""formic-anhydride"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H2O3/c3-1-5-2-4/h1-2H
"
dioxirane,(Fallback) Organic,"C1OO1	molecule ""dioxirane"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH2O2/c1-2-3-1/h1H2
"
h2co,(Fallback) Organic,"O=C	molecule ""h2co"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH2O/c1-2/h1H2
"
nh2oh,Amine,"NO	molecule ""nh2oh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/H3NO/c1-2/h2H,1H2
"
cf2cl2,Halogenalkane,"C(Cl)(Cl)(F)F	molecule ""cf2cl2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CCl2F2/c2-1(3,4)5
"
ED01,(Fallback) Organometallic,"[Cr]([C][O])([C][O])([C][O])([C][O])[C][O]	molecule ""ED01"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/5CO.Cr/c5*1-2;
"
nh2cl,Amine,"NCl	molecule ""nh2cl"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/ClH2N/c1-2/h2H2
"
ccl3h,Halogenalkane,"C(Cl)(Cl)Cl	molecule ""ccl3h"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CHCl3/c2-1(3)4/h1H
"
hnc,(Fallback) Organic,"N=[C]	molecule ""hnc"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CHN/c1-2/h2H
"
hnnn,(Fallback) Inorganic,"N=[N]=[N]	molecule ""hnnn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/HN3/c1-3-2/h1H
"
TiCl3Me,(Fallback) Organometallic,"[Ti](Cl)(Cl)(Cl)C	molecule ""TiCl3Me"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/CH3.3ClH.Ti/h1H3;3*1H;/q;;;;+3/p-3
"
CrO2Cl2,(Fallback) Inorganic,"[Cr]([O])([O])(Cl)Cl	molecule ""CrO2Cl2"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/2ClH.Cr.2O/h2*1H;;;/q;;+2;;/p-2
"
formic,"Alcohol, Carboxylic Acid","C(=O)O	molecule ""formic"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)
"
nccn,Nitrile,"N#CC#N	molecule ""nccn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2N2/c3-1-2-4
"
c2cl4,Alkene,"C(=C(Cl)Cl)(Cl)Cl	molecule ""c2cl4"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2Cl4/c3-1(4)2(5)6
"
t-hcoh,Alcohol,"[CH]O	molecule ""t-hcoh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH2O/c1-2/h1-2H
"
sio,(Fallback) Inorganic,"[Si]=O	molecule ""sio"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/OSi/c1-2
"
s2o,(Fallback) Inorganic,"S=S=O	molecule ""s2o"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/OS2/c1-3-2
"
t-n2h2,(Fallback) Inorganic,"[NH][NH]	molecule ""t-n2h2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/H2N2/c1-2/h1-2H
"
honc,(Fallback) Organic,"O[N]#[C]	molecule ""honc"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CHNO/c1-2-3/h3H
"
c-hcoh,Alcohol,"[CH]O	molecule ""c-hcoh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH2O/c1-2/h1-2H
"
hcno,(Fallback) Organic,"[CH][N][O]	molecule ""hcno"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CHNO/c1-2-3/h1H
"
hnco,(Fallback) Organic,"C(=O)=N	molecule ""hnco"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CHNO/c2-1-3/h2H
"
Ni(CO)4,(Fallback) Organometallic,"[Ni]([C][O])([C][O])([C][O])[C][O]	molecule ""Ni(CO)4"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/4CO.Ni/c4*1-2;
"
PR03,(Fallback) Organometallic,"[Ni]([C][O])([C][O])([C][O])[C][O]	molecule ""PR03"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/4CO.Ni/c4*1-2;
"
c-n2h2,(Fallback) Inorganic,"N=N	molecule ""c-n2h2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/H2N2/c1-2/h1-2H/b2-1-
"
c2cl6,Halogenalkane,"C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	molecule ""c2cl6"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8
"
CrO2(NO3)2,Amine,"[Cr]12([O])([O])(ON(O1)[O])ON(O2)[O]	molecule ""CrO2(NO3)2"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/Cr.2NO3.2O/c;2*2-1(3)4;;/q+4;2*-2;;
"
hcn,Nitrile,"C#N	molecule ""hcn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CHN/c1-2/h1H
"
ccl4,Halogenalkane,"ClC(Cl)(Cl)Cl	molecule ""ccl4"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CCl4/c2-1(3,4)5
"
Ni(PH3)2,(Fallback) Inorganic,"[Ni]([PH3])[PH3]	molecule ""Ni(PH3)2"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/Ni.2H3P/h;2*1H3
"
h2o,(Fallback) Inorganic,"O	molecule ""h2o"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/H2O/h1H2
"
ccl2,(Fallback) Organic,"[C](Cl)Cl	molecule ""ccl2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CCl2/c2-1-3
"
si2h6,(Fallback) Inorganic,"[SiH3][SiH3]	molecule ""si2h6"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/H6Si2/c1-2/h1-2H3
"
hocn,"Alcohol, Nitrile","C(#N)O	molecule ""hocn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CHNO/c2-1-3/h3H
"
fccf,Alkyne,"FC#CF	molecule ""fccf"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2F2/c3-1-2-4
"
ch2-sing,(Fallback) Organic,"[CH2]	molecule ""ch2-sing"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH2/h1H2
"
ch2f2,Halogenalkane,"C(F)F	molecule ""ch2f2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH2F2/c2-1-3/h1H2
"
MnO3F,(Fallback) Inorganic,"[Mn](F)([O])([O])[O]	molecule ""MnO3F"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/FH.Mn.3O/h1H;;;;/q;+1;;;/p-1
"
c2f4,Alkene,"C(=C(F)F)(F)F	molecule ""c2f4"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2F4/c3-1(4)2(5)6
"
ED03,(Fallback) Organometallic,"[Ni]([C][O])([C][O])[C][O]	molecule ""ED03"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/3CO.Ni/c3*1-2;
"
c2f6,Halogenalkane,"C(C(F)(F)F)(F)(F)F	molecule ""c2f6"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2F6/c3-1(4,5)2(6,7)8
"
sih4,(Fallback) Inorganic,"[SiH4]	molecule ""sih4"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/H4Si/h1H4
"
n2o4,Amine,"N(=O)(=O)N(=O)=O	molecule ""n2o4"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/N2O4/c3-1(4)2(5)6
"
hcof,(Fallback) Organic,"C(=O)F	molecule ""hcof"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CHFO/c2-1-3/h1H
"
nh2f,Amine,"NF	molecule ""nh2f"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/FH2N/c1-2/h2H2
"
VOCl3,(Fallback) Inorganic,"[V]([O])(Cl)(Cl)Cl	molecule ""VOCl3"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/3ClH.O.V/h3*1H;;/q;;;;+3/p-3
"
t-hono,(Fallback) Inorganic,"[O][N]O	molecule ""t-hono"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/HNO2/c2-1-3/h2H
"
hoclo,(Fallback) Inorganic,"[OH].Cl[O]	molecule ""hoclo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/ClO.HO/c1-2;/h;1H
"
hocl,(Fallback) Inorganic,"OCl	molecule ""hocl"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/ClHO/c1-2/h2H
"
TiCl4,(Fallback) Inorganic,"[Ti](Cl)(Cl)(Cl)Cl	molecule ""TiCl4"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/4ClH.Ti/h4*1H;/q;;;;+4/p-4
"
c-hono,(Fallback) Inorganic,"[O][N]O	molecule ""c-hono"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/HNO2/c2-1-3/h2H
"
ph3,(Fallback) Inorganic,"P	molecule ""ph3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/H3P/h1H3
"
hooh,(Fallback) Inorganic,"OO	molecule ""hooh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/H2O2/c1-2/h1-2H
"
hoclo2,(Fallback) Inorganic,"[OH].Cl[O].[O]	molecule ""hoclo2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/ClO.HO.O/c1-2;;/h;1H;
"
chf3,Halogenalkane,"C(F)(F)F	molecule ""chf3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CHF3/c2-1(3)4/h1H
"
n2o,(Fallback) Inorganic,"[N][N][O]	molecule ""n2o"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/N2O/c1-2-3
"
co2,(Fallback) Organic,"C(=O)=O	molecule ""co2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CO2/c2-1-3
"
hclo4,(Fallback) Inorganic,"[OH].Cl[O].[O].[O]	molecule ""hclo4"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/ClO.HO.2O/c1-2;;;/h;1H;;
"
f2co,(Fallback) Organic,"O=C(F)F	molecule ""f2co"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CF2O/c2-1(3)4
"
sih3f,(Fallback) Inorganic,"F[SiH3]	molecule ""sih3f"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/FH3Si/c1-2/h2H3
"
hno,(Fallback) Inorganic,"N=O	molecule ""hno"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/HNO/c1-2/h1H
"
so2,(Fallback) Inorganic,"S(=O)=O	molecule ""so2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/O2S/c1-3-2
"
bhf2,(Fallback) Inorganic,"B(F)F	molecule ""bhf2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/BF2H/c2-1-3/h1H
"
alf,(Fallback) Inorganic,"[Al]F	molecule ""alf"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/Al.FH/h;1H/q+1;/p-1
"
p2,(Fallback) Inorganic,"P#P	molecule ""p2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/P2/c1-2
"
cf4,Halogenalkane,"FC(F)(F)F	molecule ""cf4"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CF4/c2-1(3,4)5
"
co,(Fallback) Organic,"[C]=O	molecule ""co"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CO/c1-2
"
Ni(PF3)4,(Fallback) Inorganic,"[Ni]([P](F)(F)F)([P](F)(F)F)([P](F)(F)F)[P](F)(F)F	molecule ""Ni(PF3)4"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/4F3P.Ni/c4*1-4(2)3;
"
n2,(Fallback) Inorganic,"N#N	molecule ""n2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/N2/c1-2
"
fno,(Fallback) Inorganic,"F[N][O]	molecule ""fno"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/FNO/c1-2-3
"
alcl3,(Fallback) Inorganic,"[Al](Cl)(Cl)Cl	molecule ""alcl3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/Al.3ClH/h;3*1H/q+3;;;/p-3
"
sf6,(Fallback) Inorganic,"S(F)(F)(F)(F)(F)F	molecule ""sf6"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/F6S/c1-7(2,3,4,5)6
"
bf3,(Fallback) Inorganic,"B(F)(F)F	molecule ""bf3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/BF3/c2-1(3)4
"
so3,(Fallback) Inorganic,"S(=O)(=O)=O	molecule ""so3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/O3S/c1-4(2)3
"
h2s,(Fallback) Inorganic,"S	molecule ""h2s"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/H2S/h1H2
"
pf3,(Fallback) Inorganic,"P(F)(F)F	molecule ""pf3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/F3P/c1-4(2)3
"
hof,(Fallback) Inorganic,"OF	molecule ""hof"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/FHO/c1-2/h2H
"
alcl,(Fallback) Inorganic,"[Al]Cl	molecule ""alcl"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/Al.ClH/h;1H/q+1;/p-1
"
CrF6,(Fallback) Inorganic,"[Cr](F)(F)(F)(F)(F)F	molecule ""CrF6"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/Cr.6FH/h;6*1H/q+6;;;;;;/p-6
"
alh3,(Fallback) Inorganic,"[AlH3]	molecule ""alh3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/Al.3H
"
cf2,(Fallback) Organic,"[C](F)F	molecule ""cf2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CF2/c2-1-3
"
VOF3,(Fallback) Inorganic,"[V]([O])(F)(F)F	molecule ""VOF3"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/3FH.O.V/h3*1H;;/q;;;;+3/p-3
"
bf,(Fallback) Inorganic,"F[B]	molecule ""bf"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/BF/c1-2
"
CrO2F2,(Fallback) Inorganic,"[Cr]([O])([O])(F)F	molecule ""CrO2F2"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/Cr.2FH.2O/h;2*1H;;/q+2;;;;/p-2
"
pf5,(Fallback) Inorganic,"P(F)(F)(F)(F)F	molecule ""pf5"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/F5P/c1-6(2,3,4)5
"
VF5,(Fallback) Inorganic,"[V](F)(F)(F)(F)F	molecule ""VF5"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/5FH.V/h5*1H;/q;;;;;+5/p-5
"
bh,(Fallback) Inorganic,"[BH]	molecule ""bh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/BH/h1H
"
sif4,(Fallback) Inorganic,"F[Si](F)(F)F	molecule ""sif4"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/F4Si/c1-5(2,3)4
"
hf,(Fallback) Inorganic,"F	molecule ""hf"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/FH/h1H
"
clf,(Fallback) Inorganic,"ClF	molecule ""clf"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/ClF/c1-2
"
TiF4,(Fallback) Inorganic,"[Ti](F)(F)(F)F	molecule ""TiF4"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/4FH.Ti/h4*1H;/q;;;;+4/p-4
"
ScF3,(Fallback) Inorganic,"[Sc](F)(F)F	molecule ""ScF3"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/3FH.Sc/h3*1H;/q;;;+3/p-3
"
alh,(Fallback) Inorganic,"[AlH]	molecule ""alh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/Al.H
"
alf3,(Fallback) Inorganic,"[Al](F)(F)F	molecule ""alf3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/Al.3FH/h;3*1H/q+3;;;/p-3
"
cl2,(Fallback) Inorganic,"ClCl	molecule ""cl2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/Cl2/c1-2
"
hcl,(Fallback) Inorganic,"Cl	molecule ""hcl"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/ClH/h1H
"
f2,(Fallback) Inorganic,"FF	molecule ""f2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/F2/c1-2
"
h2,(Fallback) Inorganic,"[H][H]	molecule ""h2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/H2/h1H
"
